Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location Where Sexual Violence Was Committed,Reported Perpetrator,Perpetrator Group Name,Single And Group Perpetrators,Weapon Carried/Used,Survivor or Victim,Survivor Or Victim Sex,Adult or Minor ,Type,SV Context,Classification,Number of Reported Victims,Reported Deaths Following the Sexual Violence,SIND Event ID
06-09-2023,"September 2023: In Khartoum state, a 15-year-old girl and 29-year-old woman were raped by unspecified forces. ",Sudan,SDN,Khartoum State,15.52315973,32.51885276,(2) 25 km Precision ,No Information,No Information,Unidentified Armed Actor,No Information,Firearms,Civilian,Female,"Minor, Adult, ",Rape,Other,No Information,2,,41218
05-09-2023,"September 2023: In Ekiti state, a woman was sexually assaulted and stripped naked by a group of people after accusing her of stealing tubers of yam. The assault was recorded and shared on social media.",Nigeria,NGA,Ekiti State,7.620654106,5.221338458,(2) 25 km Precision ,"Street, Road or Field",Criminal,Criminal,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,Other,Intimation,1,,41316
04-09-2023," September 2023: In Al Hasahisa IDP Camp, Central Darfur, two girls aged 15 and 17 years old were raped by an unspecified number of RSF members. ",Sudan,SDN,Central Darfur State,12.9753694,22.92716825,(2) 25 km Precision ,Refugee/IDP Settlement,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Mass SV Assault,2,,41217
04-09-2023,"September 2023: In Khartoum state, a journalist was assaulted by Rapid Support Forces (RSF) members inside her home.",Sudan,SDN,Khartoum State,15.64485781,32.47283936,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualAssault,CRSV,Gang SV Assault,1,,41216
02-09-2023,"September 2023: In Amhara region, an unspecified number of nuns were allegedly raped by Ethiopian National Defence Force (ENDF) soldiers.",Ethiopia,ETH,Amhara Region,10.85320036,37.02306506,(2) 25 km Precision ,No Information,Armed Forces of Government or Self-Declared Government,Ethiopian National Defense Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,41309
31-08-2023,"August 2023: In North Kivu province, two girls were kidnapped by an Armed Forces of the Democratic Republic of the Congo (FARDC) soldier. Both girls were raped by the soldier whilst in captivity.",DRC,COD,North Kivu,-0.053558342,28.5136421,"(3) District, Communicipality or Commune ",In Captivity,Armed Forces of Government or Self-Declared Government,Forces Arm??es de la R??publique D??mocratique du Congo,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,One to Many Rape,2,,41307
30-08-2023,"August 2023: In  North Kivu province, an individual (gender unspecified) was raped and killed inside a health clinic by Mai-Mai Union des Patriotes pour la Liberation du Congo (UPLC).",DRC,COD,North Kivu,-0.052185051,28.51467133,"(3) District, Communicipality or Commune ",Health Facility,NSA,Mai Mai militia,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",Rape,CRSV,Gang SV Assault,1,1,41306
29-08-2023," August 2023: In Khartoum state, a woman and her three daughters were raped in front of each other by RSF soldiers.",Sudan,SDN,Khartoum State,15.64155175,32.47010167,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,4,,41229
29-08-2023," August 2023: In Khartoum state, a woman was gang-raped in her home by RSF soldiers in front of her siblings.",Sudan,SDN,Khartoum State,15.55822145,32.53395155,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,"Female, Unclear","Unspecified, Adult, ","ForcedToWitnessSexualViolence, Rape",CRSV,Mass SV Assault,2,,41230
29-08-2023,"August 2023: In Khartoum state, a woman was raped by armed RSF soldiers. The perpetrators had threatened to kill the whole family if they didn't give them one of their daughters. ",Sudan,SDN,Khartoum State,15.55888294,32.53463745,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,41228
29-08-2023,"August 2023: In Khartoum state, two girls were raped by RSF soldiers in front of their father. One of the victims passed away from her injuries. The father also died from suspected shock. ",Sudan,SDN,Khartoum State,15.53837593,32.56285956,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,"Female, Male","Minor, Adult, ","ForcedToWitnessSexualViolence, Rape",CRSV,Mass SV Assault,3,,41227
27-08-2023,"August 2023: In South Kivu province, an individual (of unspecified gender) was raped and killed by armed men.",DRC,COD,South Kivu,-3.40581418,29.13694456,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",Rape,CRSV,Gang SV Assault,1,1,41305
24-08-2023,"August 2023: In Eastern Equatoria State, an unknown number of women were stripped naked after being forced off a bus by armed men.",South Sudan,SSD,Eastern Equatoria,4.54904616,33.36685248,(5) Linear Feature e.g. Along Road/River ,"Street, Road or Field",Criminal,Criminal,Group Perpetrator,Knife,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,Other,Intimation,2,,41331
24-08-2023,August 2023: armed men invaded a university's dorms and stole valuables. Four students were injured and others sexually assaulted. ,Nigeria,NGA,Rivers State,4.774889359,7.018890381,"(3) District, Communicipality or Commune ",School,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Adult, ",SexualAssault,CRSV,Mass SV Assault,2,,41141
24-08-2023,"August 2023: In  Rivers state, at least two female students were sexually molested by armed men at a university  hostel. ",Nigeria,NGA,Rivers State,4.796996234,6.980394831,(2) 25 km Precision ,Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,41404
16-08-2023,"August 2023: In Lagos state, a female undergraduate student was raped by her lecturer in his office.",Nigeria,NGA,Lagos State,6.513861349,3.392027907,(2) 25 km Precision ,School,Employee,Employee,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,Safeguarding,Single Rape/sv Assault ,1,,41315
12-08-2023,"August 2023: In North Kivu province, a 17-year-old girl was raped by a pastoralist while returning from the fields.",DRC,COD,North Kivu,-1.397957361,28.81679526,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,41365
11-08-2023,"August 2023: In South Kivu province, a 21-year-old girl was raped by a policeman at the station.",DRC,COD,South Kivu,-1.710523135,29.02244753,(2) 25 km Precision ,Police Station,Police,DRC National Police,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,41364
11-08-2023,"August 2023: In South Kivu province, a three-year-old girl was raped by a soldier in a military camp.",DRC,COD,South Kivu,-2.507515207,28.85833851,(2) 25 km Precision ,No Information,Armed Forces of Government or Self-Declared Government,Forces Arm??es de la R??publique D??mocratique du Congo,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,41362
11-08-2023,"August 2023: In Central Darfur state, a 14-year-old girl was abducted and raped for five consecutive days by RSF soldiers.",Sudan,SDN,Central Darfur State,12.90748698,23.47005904,(2) 25 km Precision ,In Captivity,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,41231
11-08-2023,"August 2023: In South Kivu province, a 15-year-old girl was locked up and raped by a FARDC soldier. ",DRC,COD,South Kivu,-1.709836795,29.02416229,(2) 25 km Precision ,Victims Home,Armed Forces of Government or Self-Declared Government,Forces Arm??es de la R??publique D??mocratique du Congo,Single Serpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,41363
10-08-2023,"August 2023: In South Kivu province, two women were raped at gunpoint by three Mai Mai Nyatura members whilst they were looking for food.",DRC,COD,South Kivu,-2.108898659,28.91053136,"(3) District, Communicipality or Commune ","Street, Road or Field",NSA,Raiya Mutomboki,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,40597
09-08-2023,"August 2023: student sexually molested by at least 13 other university students, who then paraded him naked, before he fell to his death from a balcony. ",India,IND,West Bengal,22.5726459,88.3638953,"(3) District, Communicipality or Commune ",School,Civilian,Students,Group Perpetrator,No Information on the Weapon Used,Civilian,Male,"Minor, ",SexualAssault,Other,Gang SV Assault,1,1,41171
09-08-2023,"August 2023: In Kalma camp, South Darfur state, 12 women were raped by RSF. One of the women later died from her injuries. ",Sudan,SDN,East Darfur State,12.01212171,25.00419148,(2) 25 km Precision ,Refugee/IDP Settlement,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,12,,41232
09-08-2023,"August 2023: In Khartoum state, six women were raped by RSF. ",Sudan,SDN,Khartoum State,15.55954442,32.53326564,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,6,,41233
08-08-2023,"August 2023: In an unspecified location, a woman was raped by a Rapid Support Forces (RSF) member. She died from her injuries. ",Sudan,SDN,No Information,15.55160649,32.52639029,(6) Country,No Information,Vigilante,Rapid Support Forces,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Single Rape/sv Assault ,1,1,41234
08-08-2023,"August 2023: In Tanganyika province, an unspecified number of women were raped by Batwa ethnic militiamen.",DRC,COD,Tanganyika,-6.429942185,29.02860769,(2) 25 km Precision ,No Information,NSA,Mai Mai militia,Group Perpetrator,Knife,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,40595
08-08-2023,"August 2023: In Tanganyika province, an unspecified number of women were raped by Batwa ethnic militiamen.",DRC,COD,Tanganyika,-6.443588525,29.02587891,(2) 25 km Precision ,No Information,NSA,Mai Mai militia,Group Perpetrator,Knife,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,40594
07-08-2023,"August 2023: In Kherson Oblast, in unspecified detention centres, 32 Ukrainian detainees were subjected to genital electrocutions and genital mutilation threats and threats of rape by Russian soldiers. ",Ukraine,UKR,Kherson Oblast,46.63812246,32.62321546,(2) 25 km Precision ,Under Arrest/Detention,Foreign Force: Military,Armed Forces of the Russian Federation,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",CuttingOff/InjuringSexualOrgans,CRSV,Mass SV Assault,32,,41321
07-08-2023,"August 2023: In  Khartoum state, four women were raped by armed militia.",Sudan,SDN,Khartoum State,15.5635972,32.5349123,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,4,,41236
07-08-2023,"August 2023: In Kherson Oblast, a Ukrainian detainee was forced to witness the rape of another detainee by Russian soldiers. ",Ukraine,UKR,Kherson Oblast,46.61926104,32.5964409,(2) 25 km Precision ,Under Arrest/Detention,Foreign Force: Military,Armed Forces of the Russian Federation,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ","ForcedToWitnessSexualViolence, Rape",CRSV,Mass SV Assault,2,,41322
05-08-2023,"August 2023: In North Kivu province, a woman was killed by an M23 rebel after she refused to engage in sexual activity with an insurgent.",DRC,COD,North Kivu,-1.184379144,29.45090728,"(3) District, Communicipality or Commune ",No Information,NSA,March 23 Movement,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",ThreatOfSexualViolence,CRSV,Intimation,1,1,40593
01-08-2023,"August 2023: In Taraba state, an 18-year-old girl was raped and killed by an unidentified armed group.",Nigeria,NGA,Taraba State,8.889142076,11.36810504,(2) 25 km Precision ,"Street, Road or Field",No Information,Unidentified Armed Actor,No Information,Firearms,Civilian,Female,"Adult, ",Rape,,No Information,1,1,41403
01-08-2023,"August 2023: In Mershing town, South Darfur state, five women were raped and beaten by armed militants whilst they were farming. The women were also whipped and one other female farmer was killed. The men were reportedly dressed in RSF uniforms and riding camels. ",Sudan,SDN,South Darfur State,12.71737704,24.8950225,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,5,,41238
31-07-2023,"July 2023: In West Darfur state, a Massalit woman was raped by four RSF after she had gone out to collect firewood. ",Sudan,SDN,West Darfur State,13.43637372,22.44369803,(2) 25 km Precision ,"Street, Road or Field",Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39896
31-07-2023,"July 2023: In Khartoum state, a 24-year-old woman was repeatedly raped by three RSF forces after she was stopped in the street.",Sudan,SDN,Khartoum State,15.55822145,32.53738107,(2) 25 km Precision ,In Captivity,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39897
29-07-2023,"July 2023: In Central Equatoria state, a woman was raped by an armed SSPDF soldier.",South Sudan,SSD,Central Equatoria,4.833733396,31.58019216,"(3) District, Communicipality or Commune ",No Information,Armed Forces of Government or Self-Declared Government,South Sudan People's Defence Force,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,41328
29-07-2023,July 2023: In Central Equatoria State an unspecified number of underage girls were sexually harassed by National Security Service personnel.,South Sudan,SSD,Central Equatoria,4.387490398,31.58294008,(2) 25 km Precision ,No Information,Police,Intelligence/security forces (South Sudan),Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,SV by security personnel,Mass SV Assault,2,,41329
29-07-2023,"July 2023: In Central Equatoria state, a woman was raped by an armed South Sudan PeopleÉ??s Defense Forces (SSPDF) soldier.",South Sudan,SSD,Central Equatoria,4.82004919,31.58843593,"(3) District, Communicipality or Commune ",No Information,Armed Forces of Government or Self-Declared Government,South Sudan People's Defence Force,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,41325
28-07-2023," July 2023: In West Darfur state, a Massalit woman in her twenties was raped by RSF fighters and Arab militiamen inside her residence during house-to-house searches.",Sudan,SDN,West Darfur State,13.44305213,22.44095294,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39895
28-07-2023,"July 2023: In El Geneina, West Darfur state, a Massalit woman in her twenties was raped at gunpoint by an RSF soldier inside her residence during house-to-house searches.",Sudan,SDN,West Darfur State,13.44221734,22.44609833,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Single Rape/sv Assault ,1,,39894
26-07-2023,"July 2023: In Khartoum State, an Ethiopian refugee woman was attacked and almost raped by an RSF soldier. The incident was interrupted by the husband who was shot dead. ",Sudan,SDN,Khartoum State,15.66766816,32.53326434,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",AttemptedSexualAssault,CRSV,Gang SV Assault,1,,39893
24-07-2023,"July 2023: In Delta State, a female student was raped at knife and gunpoint by an unidentified armed perpetrator inside the primary health centre. ",Nigeria,NGA,Delta State,5.508348364,6.054496765,(2) 25 km Precision ,Health Facility,NSA,Unidentified Armed Actor,Single Serpetrator,Knife,Health Worker,Female,"Adult, ",Rape,Health Workers Experienced Sexual Violence,Single Rape/sv Assault ,1,,41402
20-07-2023,"July 2023: In Khartoum state, five women were raped by RSF soldiers.",Sudan,SDN,Khartoum State,15.55954442,32.53601074,"(4) Province, State, Governorate ",No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,5,,39891
19-07-2023,"July 2023: In North Darfur state, three women were raped after civilians were attacked by militants travelling on camels, motorbikes and cars. ",Sudan,SDN,North Darfur State,13.07521444,24.8777676,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,39820
18-07-2023,"July 2023: In Kasai Province, a young girl was raped by armed Kulunas.",DRC,COD,Kasai,-5.353521355,21.41981975,(2) 25 km Precision ,Victims Home,NSA,Unidentified Armed Actor,Group Perpetrator,Knife,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,40568
16-07-2023,"July 2023: In Abia state, a 53-year-old womanÉ??s body was discovered near her farm. She was found with bruises around her private parts suggesting that she may have been raped to death by an unidentified perpetrator.",Nigeria,NGA,Abia State,5.376765025,7.411656061,"(3) District, Communicipality or Commune ","Street, Road or Field",No Information,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,Other,Gang SV Assault,1,1,40572
15-07-2023,"July 2023: In South Darfur state, an unspecified number of women and girls are being held hostage inside a dorm of the university. Three of these women were abducted from Khartoum",Sudan,SDN,South Darfur State,12.04872199,24.87716971,"(3) District, Communicipality or Commune ",In Captivity,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",UnspecifiedActSV,CRSV,Unspecified SV ,5,,39898
11-07-2023,"July 2023: In Ituri Province, three women were raped at gunpoint by three unidentified armed men",DRC,COD,Ituri,1.691648705,27.86128066,(2) 25 km Precision ,Other,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,40567
11-07-2023,"July 2023: In Khartoum state, nine women were raped by RSF soldiers. ",Sudan,SDN,Khartoum State,15.54896045,32.53876402,"(4) Province, State, Governorate ",No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,9,,39810
09-07-2023,"July 2023: In Maniema Province, an unspecified number of women were stripped naked and sexually harassed by unknown security operatives (presumed police) at illegally erected roadblocks.",DRC,COD,Maniema,-3.178909796,26.63360892,(2) 25 km Precision ,"Street, Road or Field",Police,DRC National Police,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",SexualHarassment,SV by security personnel,Not Applicable,2,,40566
08-07-2023,"July 2023: In Ituri province, a woman was raped and killed by unidentified armed men",DRC,COD,Ituri,1.4528292,29.874835,"(3) District, Communicipality or Commune ",No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,1,40511
08-07-2023," July 2023: In North Kivu province, an individual (gender unspecified) was kidnapped and raped whilst in captivity by three unidentified armed men. The perpetrators demanded a ransom to free the hostage.",DRC,COD,North Kivu,-1.19193062,29.44199053,"(3) District, Communicipality or Commune ",In Captivity,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Unclear,"Unspecified, ",Rape,CRSV,Gang SV Assault,1,,40510
06-07-2023,"July 2023: In Central Equatoria State, a 16-year-old girl was raped by Dinka Bor cattle herders. The perpetrators also killed the girlÉ??s mother",South Sudan,SSD,Central Equatoria,4.334087101,31.07208697,"(3) District, Communicipality or Commune ",No Information,Other,Dinka,Group Perpetrator,Firearms,Civilian,Female,"Minor, ",Rape,CRSV,Gang SV Assault,1,,40592
05-07-2023,"July 2023: In Central Equatoria State, a woman was raped by a South Sudan PeopleÉ??s Defence Forces (SSPDF) soldier. ",South Sudan,SSD,Central Equatoria,4.332717736,31.07757272,"(3) District, Communicipality or Commune ",No Information,Armed Forces of Government or Self-Declared Government,South Sudan People's Defence Force,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,40590
03-07-2023,"July 2023: In Kongo Central Province, an unspecified number of women and girls were raped by Mobondo militiamen during attacks on civilians in the area.",DRC,COD,Kongo Central,-5.715490072,15.95918674,"(3) District, Communicipality or Commune ",No Information,NSA,Mai Mai militia,Group Perpetrator,Arson,Civilian,Female,"Minor, Adult, ",Rape,CRSV,Mass SV Assault,4,,40512
03-07-2023,"July 2023: In Khartoum state, a woman was raped by RSF soldiers. ",Sudan,SDN,Khartoum State,15.50000249,32.64587436,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39813
02-07-2023,"July 2023: In Ituri province, a woman was raped by a Uganda PeopleÉ??s Defence Forces (UPDF) soldier. ",DRC,COD,Ituri,1.444549086,29.87457275,"(3) District, Communicipality or Commune ",No Information,Foreign Force: Military,Uganda People's Defence Force,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,SV by security personnel,Single Rape/sv Assault ,1,,40509
01-07-2023,"July 2023: In West Darfur state, a woman was raped by RSF soldiers.  ",Sudan,SDN,West Darfur State,13.43770941,22.43957185,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39817
01-07-2023,"July 2023: In Khartoum state, a woman was raped by RSF.  ",Sudan,SDN,Khartoum State,15.5623557,32.53326424,(2) 25 km Precision ,No Information,Vigilante,Rapid Support Forces,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Gang SV Assault,1,,39815
28-06-2023,"June 2023: In South Kivu Province, four women were abducted, raped and tortured by rebels belonging to the Shabani Group known as É??Ouragan du Congo"" (a new rebel faction which broke off from Wazalendo). One of the women was released naked a few hours later with her baby. ",DRC,COD,South Kivu,-2.0873696,28.64624996,(2) 25 km Precision ,In Captivity,NSA,Mai Mai militia,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,4,,40508
28-06-2023," June 2023: In North Kivu province, a soldierÉ??s wife was undressed and whipped by FARDC soldiers at her residence on the military base. This incident was in retaliation after attempting to claim her husbandÉ??s bonus.",DRC,COD,North Kivu,-1.211581525,27.60194778,(2) 25 km Precision ,Victims Home,Armed Forces of Government or Self-Declared Government,Forces Arm??es de la R??publique D??mocratique du Congo,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",StrippedNaked/TornClothes,SV by security personnel,Intimation,1,,39806
27-06-2023,"June 2023: In South Kivu Province, a 22-year-old and 25-year-old woman were raped by unidentified armed men whilst returning from the field and collecting water.",DRC,COD,South Kivu,-4.986977442,28.84125737,(2) 25 km Precision ,"Street, Road or Field",NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,2,,40506
26-06-2023,"June 2023: In West Darfur, a 24-year-old woman was raped by an armed man inside her residence. ",Sudan,SDN,Masalit State,13.43503801,22.44094849,(2) 25 km Precision ,Victims Home,Vigilante,Rapid Support Forces,Single Serpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Single Rape/sv Assault ,1,,40168
26-06-2023,"June 2023: In Katsina state, three women were raped by armed men during an attack on the head of a vigilante group in the area. The attack was reportedly a revenge attack after the enclaves the men lived in had been destroyed.",Nigeria,NGA,Katsina State,12.26217963,7.333717346,(2) 25 km Precision ,No Information,NSA,Unidentified Armed Actor,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",Rape,CRSV,Mass SV Assault,3,,39800
26-06-2023,"As reported, June 2023: An imprisoned womenÉ??s rights activist has endured physical abuse and threats of sexual violence throughout her detention by interrogators linked to the Ministry of Intelligence. ",Iran,IRN,Kermanshah Province,34.3789744,46.7010122,"(4) Province, State, Governorate ",Police Station,Police,Law Enforcement Forces of Islamic Republic of Iran,Group Perpetrator,Firearms,Civilian,Female,"Adult, ",UnspecifiedActSV,SV by security personnel,Unspecified SV ,1,,39847
